AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h,AT,DPT,SLP,WD,WSR
51,26,65,50,96,21,40,29,44,35,53,24,41,0.691,1.445,-16.2,-21.9,1034.2,200,1
46,24,61,45,89,18,39,27,42,36,53,36,36,0.655,1.355,-13.8,-22,1034.3,240,1
42,20,56,41,82,25,37,27,41,36,53,36,38,0.618,1.273,-11.4,-22.2,1034.5,280,2
38,19,51,37,75,21,35,25,39,38,53,37,39,0.609,1.2,-9,-22.3,1034.6,320,3
36,18,47,35,71,26,34,28,38,35,53,36,39,0.627,1.118,-8.5,-22.1,1034.2,320,3
34,17,44,33,67,23,32,26,37,36,53,36,39,0.591,1.009,-8,-21.9,1033.9,320,3
34,18,40,33,63,28,31,31,36,29,53,35,40,0.627,0.927,-7.5,-21.7,1033.5,320,3
48,26,38,47,60,41,30,40,36,18,53,33,40,0.773,0.873,-7.8,-21.5,1033.8,320,2
58,39,36,64,58,39,30,46,36,12,53,30,40,1.064,0.845,-8.2,-21.4,1034.2,330,1
63,44,33,68,54,44,29,43,36,19,53,28,40,1.1,0.836,-8.5,-21.2,1034.5,340,1
52,31,31,51,52,35,29,33,35,33,53,27,40,0.827,0.791,-10.4,-21.4,1034.7,340,0
41,21,30,40,50,21,28,19,34,47,53,29,40,0.673,0.755,-12.3,-21.6,1035,350,0
33,16,29,32,49,16,28,14,34,54,56,31,41,0.58,0.755,-14.2,-21.8,1035.2,360,0
33,15,29,32,49,14,27,13,33,58,58,34,42,0.511,0.755,-15,-22.1,1035.6,280,0
35,16,29,34,48,14,27,13,33,61,60,37,43,0.536,0.745,-15.7,-22.3,1035.9,210,0
37,16,28,36,48,17,27,16,33,58,60,43,45,0.518,0.745,-16.5,-22.6,1036.3,140,1
39,16,28,38,48,15,27,20,32,53,60,48,48,0.518,0.745,-17,-22.5,1036.6,130,1
44,18,28,43,48,21,27,28,32,44,60,51,51,0.609,0.736,-17.4,-22.4,1037,120,1
50,22,27,49,48,21,26,36,32,34,60,51,51,0.745,0.727,-17.9,-22.3,1037.3,110,1
62,36,26,71,48,25,26,49,31,21,60,47,51,0.864,0.727,-18.4,-22.5,1037.2,120,1
72,52,26,87,48,32,25,55,31,16,60,43,51,1.118,0.736,-18.8,-22.7,1037.2,130,1
91,67,27,109,50,39,26,57,31,14,60,37,51,1.309,0.755,-19.3,-22.9,1037.1,140,1
98,73,28,114,52,44,26,58,32,13,60,31,51,1.4,0.764,-18.9,-22.3,1037.4,140,1
98,73,30,115,54,52,27,60,33,11,60,25,51,1.491,0.8,-18.4,-21.7,1037.6,150,1
121,91,33,139,57,49,28,60,34,9,60,20,51,1.736,0.845,-18,-21.1,1037.9,160,1
108,80,35,128,61,42,29,56,36,9,60,9,9,1.573,0.873,-14.6,-20.6,1037.9,200,1
